0,1,100
0,3,10
1,2,300
5,20,50
3,1,50
2,7,50
3,6,50
9,20,50
3,20,50
8,7,100
4,5,50
5,8,50
6,9,300
7,20,200
7,8,100
3,7,100
5,4,100
3,9,500
4,9,200
8,6,50
9,1,150
0,9,150
5,20,1000
9,6,200
9,10,390
9,15,1000
9,12,800
9,20,1000
10,11,100
10,12,1000
10,20,50
11,13,500
11,20,400
12,13,900
12,18,1000
12,20,500
13,12,100
13,15,1000
13,16,400
13,20,400
14,15,120
14,16,900
14,20,100
15,19,500
15,18,360
15,17,100
15,20,40
16,13,400
16,14,350
16,20,500
17,29,290
17,15,400
17,20,300
18,14,300
18,19,460
18,20,100
19,13,400
19,20,100
